473	11	474	0	0
429	9	430	0	0
482	12	480	0	0
3	0	4	0	0
33	0	34	0	0
452	10	439	0	0
334	5	320	0	0
26	1	27	0	0
423	9	427	0	0
166	1	139	0	0
87	1	190	0	0
482	12	477	0	0
52	12	121	0	0
3	1	5	0	0
92	1	193	0	0
117	10	441	0	0
26	0	27	0	0
205	10	439	0	0
485	14	493	0	0
299	12	479	0	0
276	1	131	0	0
153	1	87	0	0
132	1	133	0	0
168	1	139	0	0
52	12	149	0	0
18	0	19	0	0
276	10	439	0	0
282	10	438	0	0
360	5	322	0	0
156	1	32	0	0
336	5	318	0	0
204	12	203	0	0
452	10	438	0	0
209	1	133	0	0
189	10	439	0	0
168	10	439	0	0
202	10	451	0	0
169	10	439	0	0
364	10	434	0	0
364	5	324	0	0
52	12	216	0	0
284	1	81	0	0
93	1	62	0	0
252	1	223	0	0
370	5	321	0	0
350	5	340	0	0
202	1	139	0	0
433	11	461	0	0
143	10	439	0	0
433	11	460	0	0
217	10	439	0	0
234	1	235	0	0
3	0	5	0	0
342	5	323	0	0
287	5	321	0	0
405	8	400	0	0
359	5	324	0	0
302	5	328	0	0
356	5	357	0	0
365	5	325	0	0
148	10	438	0	0
226	10	439	0	0
365	5	323	0	0
52	12	242	0	0
255	1	223	0	0
272	10	439	0	0
429	9	430	0	0
128	10	438	0	0
198	10	438	0	0
222	1	120	0	0
125	1	48	0	0
245	1	48	0	0
264	5	324	0	0
194	3	9	0	0
268	10	436	0	0
358	5	322	0	0
140	10	438	0	0
178	12	177	0	0
101	12	179	0	0
358	5	327	0	0
30	3	10	0	0
309	5	322	0	0
307	5	324	0	0
289	3	64	0	0
277	1	47	0	0
345	5	328	0	0
332	5	330	0	0
207	3	10	0	0
362	5	323	0	0
54	1	48	0	0
93	10	436	0	0
138	1	139	0	0
299	12	191	0	0
217	1	129	0	0
33	1	34	0	0
36	3	10	0	0
239	10	436	0	0
126	1	115	0	0
165	10	439	0	0
351	10	434	0	0
244	10	439	0	0
262	1	210	0	0
12	0	13	0	0
350	5	325	0	0
14	3	10	0	0
151	10	439	0	0
365	5	322	0	0
299	12	478	0	0
395	7	306	0	0
52	12	263	0	0
299	5	328	0	0
249	1	139	0	0
122	10	438	0	0
105	10	438	0	0
187	1	137	0	0
165	10	438	0	0
148	10	439	0	0
341	5	338	0	0
105	1	106	0	0
366	5	353	0	0
359	10	434	0	0
264	5	322	0	0
167	1	139	0	0
260	1	270	0	0
279	1	196	0	0
350	5	322	0	0
159	10	439	0	0
299	5	324	0	0
155	1	139	0	0
